GEOID,county_name,year,median_income,median_rent,median_home_value,poverty_population,total_population,renter_total,rent30_34,rent35_39,rent40_49,rent50_plus,poverty_rate,rent_to_income_ratio,rent_burden_rate,income_score,rent_score,poverty_score,burden_score,ratio_score,housing_stress_index
41071,Yamhill,2021,73409,1197,353200,11742,101802,11011,913,1026,1073,2585,0.11534154535274356,0.19567083055211215,0.5083098719462356,0.4662889262955393,0.488,0.38389958514906136,0.8525145895733665,0.4065157698505153,0.5194437741736964
41059,Umatilla,2021,63123,854,203800,9606,75165,8964,834,555,545,1441,0.12779884254639792,0.16234969820826006,0.37650602409638556,0.6208819285800169,0.1831111111111111,0.4587139799680786,0.5327945103068201,0.15651903116564655,0.39040411222633464
41067,Washington,2021,92025,1541,439300,47399,591235,88107,8214,5707,8258,17977,0.08016947575837019,0.20094539527302363,0.4557640142099947,0.18650054106047853,0.7937777777777778,0.17266780185534633,0.7250527128935749,0.4460889741643065,0.4648175615502968
41057,Tillamook,2021,55730,1015,309000,3609,26458,3401,333,152,247,590,0.13640486809282637,0.21855374125246727,0.3887092031755366,0.7319947096308765,0.32622222222222225,0.5103989147532116,0.562396084510744,0.5781982021181976,0.5418420266470504
41029,Jackson,2021,61020,1116,322100,29480,219181,31652,3140,2159,2631,7656,0.1345007094593053,0.21946902654867256,0.4924175407557184,0.6524888782012745,0.416,0.4989631696159076,0.8139641415337107,0.5850652658378901,0.5932962910377566
41011,Coos,2021,52548,872,238100,10377,63524,8643,830,624,752,1421,0.1633555821421825,0.19913222196848596,0.4196459562651857,0.779818444150535,0.1991111111111111,0.6722559636939763,0.6374401845990817,0.43248537245812024,0.5442222152025649
41053,Polk,2021,70238,1120,319000,10127,84325,11015,971,637,727,2768,0.12009487103468722,0.19134941199920272,0.46327734906945073,0.513947336780089,0.41955555555555557,0.4124464825011977,0.743278007951409,0.37409368606382876,0.4926642137704159
41009,Columbia,2021,73909,1134,312700,5246,51819,4665,528,325,642,859,0.10123699801231209,0.18411830764859488,0.5046087888531618,0.4587741974269568,0.432,0.29919235234674196,0.8435367744397929,0.3198412529205876,0.4706689154268158
41013,Crook,2021,64820,976,296500,2324,24178,2635,312,214,236,410,0.09612044006948466,0.18068497377352669,0.4447817836812144,0.595376938800048,0.29155555555555557,0.2684640025210621,0.6984128258761253,0.294082156179036,0.4295782957863654
41049,Morrow,2021,61659,727,169800,1764,11932,1146,133,21,78,97,0.14783774723432785,0.14148786065294605,0.2870855148342059,0.6428850547072262,0.07022222222222223,0.5790609945538047,0.3158848162747611,0,0.3216106175516028
41033,Josephine,2022,56068,1093,353800,13981,86776,10645,1046,987,921,2956,0.1611159767677699,0.23393022758079474,0.5551902301550024,0.7269147529157147,0.39555555555555555,0.6588056366996548,0.9662335142258994,0.693562571937508,0.6882144062668665
41045,Malheur,2022,48371,761,187500,5276,27920,4124,226,186,247,693,0.18896848137535815,0.1887908044075996,0.32783705140640157,0.8425964891186726,0.10044444444444445,0.826078540606295,0.4147368962075002,0.35489735303185294,0.5077507446817531
41001,Baker,2022,51657,765,231100,2225,16220,1946,99,69,44,459,0.13717632552404438,0.17771066844764505,0.3448098663926002,0.7932096909943489,0.104,0.5150320321901634,0.4559083023636068,0.27176698922581455,0.42798340295478676
41021,Gilliam,2022,58409,1071,151500,251,1952,219,19,0,12,32,0.1285860655737705,0.22003458371141435,0.2876712328767123,0.6917307923530118,0.376,0.463441780346035,0.3173056080197132,0.5893084423532104,0.487557324614394
41015,Curry,2022,64300,1105,353200,2886,23227,2606,289,65,218,523,0.12425194816377491,0.2062208398133748,0.4201841903300077,0.6031922568233739,0.4062222222222222,0.43741250882246896,0.6387457932036567,0.4856687794539674,0.5142483121051379
41039,Lane,2022,65157,1210,363800,60298,373861,64535,5535,3668,5982,17207,0.16128454158096192,0.22284635572540173,0.5019291857131789,0.5903120115426235,0.49955555555555553,0.6598179810541882,0.8370367902413482,0.6104041790217131,0.6394253034830857
41025,Harney,2022,45462,665,174100,890,7337,958,39,48,62,115,0.12130298487120077,0.1755312128810875,0.2755741127348643,0.8863171816760851,0.015111111111111112,0.4197020134680019,0.28796130378472135,0.2554153005099148,0.3729013821099668
41005,Clackamas,2022,95740,1605,532200,31670,418012,46532,3485,3164,4432,12534,0.07576337521410868,0.20116983496970964,0.5075002149058713,0.13066610556691116,0.8506666666666667,0.1462062235044194,0.8505505830792701,0.4477728662848957,0.48517248902043264
41047,Marion,2022,70926,1228,352500,43663,336003,47186,4064,3648,3976,11884,0.12994824450972164,0.20776584045343033,0.49955495274021955,0.5036070698569195,0.5155555555555555,0.4716225751961659,0.8312775505325306,0.49726037596077644,0.5638646254203896
41031,Jefferson,2022,69345,940,307200,2984,23526,2564,136,137,152,610,0.12683839156677718,0.1626649361886221,0.4036661466458658,0.5273686425393771,0.25955555555555554,0.45294582996919597,0.5986775378213224,0.15888415087967256,0.39948634335302474
41035,Klamath,2022,57219,921,234200,12201,68416,9291,883,379,695,2397,0.17833547708138447,0.19315262412834897,0.46862555160908403,0.7096158470602381,0.24266666666666667,0.7622202438188607,0.7562512842843809,0.387622552573875,0.5716753188808043
41013,Crook,2022,74969,1129,368200,1965,24821,2542,288,128,260,349,0.07916683453527255,0.18071469540743507,0.4032258064516129,0.4428429722255621,0.4275555555555556,0.1666462712487827,0.5976093929673787,0.29430514714671396,0.3857918678287986
41061,Union,2022,61946,930,243400,3925,25752,3573,248,86,284,736,0.15241534638086363,0.18015691085784394,0.3789532605653512,0.6385716003366598,0.25066666666666665,0.6065525366233457,0.538730836526469,0.29012028581464344,0.46492838519355695
41019,Douglas,2022,56440,957,262400,16359,109996,13161,1030,991,905,2469,0.14872358994872542,0.2034727143869596,0.40992325811108576,0.7213237946374895,0.27466666666666667,0.5843810720595617,0.613855578571079,0.46505056075085893,0.5318555345371311
41051,Multnomah,2022,83668,1515,492100,96850,793847,156286,13239,10215,14636,38307,0.12200083895259414,0.21728737390639194,0.488828173988713,0.3121017193699651,0.7706666666666667,0.4238930936003778,0.805257319646606,0.5686970932354362,0.5761231785038103
41023,Grant,2022,56045,803,185500,1164,7059,743,27,47,21,96,0.16489587760305993,0.17193326790971541,0.2570659488559892,0.7272604304436696,0.13777777777777778,0.681506467310983,0.2430655612175296,0.22842118459786648,0.4036062842695653
41003,Benton,2022,72882,1315,442300,17101,89739,16662,1025,970,1423,5890,0.19056374597443698,0.21651436568700091,0.5586364181970952,0.4742094505230251,0.5928888888888889,0.8356591706338968,0.9745930236936391,0.5628974843917106,0.6880496036262321
41055,Sherman,2022,57171,911,186300,295,1898,231,6,11,5,22,0.1554267650158061,0.19121582620559374,0.19047619047619047,0.710337261031622,0.23377777777777778,0.6246381180474364,0.08153702335736836,0.37309143882948365,0.4046763238087376
41043,Linn,2022,69523,1160,319800,15074,126135,16499,1470,1149,1607,3479,0.11950687755182939,0.20022150942853445,0.46699799987878055,0.5246933990621618,0.45511111111111113,0.40891518868250776,0.7523032890117708,0.44065791322571185,0.5163361802186527
41007,Clatsop,2022,68025,1096,407700,4176,40762,6583,543,337,444,1544,0.1024483587655169,0.1933406835722161,0.43566762874069576,0.5472075267524348,0.3982222222222222,0.306467383218181,0.6763043792141599,0.38903349645058716,0.46344700157151697
